"Plot Title: 10761879"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10761879, SEN S/N: 10761879, LBL: Temperature Tank1)","Coupler Attached (LGR S/N: 10761879)","Coupler Detached (LGR S/N: 10761879)","Host Connected (LGR S/N: 10761879)","Stopped (LGR S/N: 10761879)","End Of File (LGR S/N: 10761879)"
240,07/14/15 01:55:00 PM,21.187,,,,,
241,07/14/15 02:00:00 PM,21.187,,,,,
242,07/14/15 02:05:00 PM,21.187,,,,,
243,07/14/15 02:10:00 PM,21.187,,,,,
244,07/14/15 02:15:00 PM,21.187,,,,,
245,07/14/15 02:20:00 PM,21.187,,,,,
246,07/14/15 02:25:00 PM,21.187,,,,,
247,07/14/15 02:30:00 PM,21.187,,,,,
248,07/14/15 02:35:00 PM,21.187,,,,,
249,07/14/15 02:40:00 PM,21.187,,,,,
250,07/14/15 02:45:00 PM,21.187,,,,,
251,07/14/15 02:50:00 PM,21.187,,,,,
252,07/14/15 02:55:00 PM,21.187,,,,,
253,07/14/15 03:00:00 PM,21.187,,,,,
254,07/14/15 03:05:00 PM,21.187,,,,,
255,07/14/15 03:10:00 PM,21.282,,,,,
256,07/14/15 03:15:00 PM,21.282,,,,,
257,07/14/15 03:20:00 PM,21.282,,,,,
258,07/14/15 03:25:00 PM,21.282,,,,,
259,07/14/15 03:30:00 PM,21.282,,,,,
260,07/14/15 03:35:00 PM,21.282,,,,,
261,07/14/15 03:40:00 PM,21.282,,,,,
262,07/14/15 03:45:00 PM,21.282,,,,,
263,07/14/15 03:50:00 PM,21.282,,,,,
264,07/14/15 03:55:00 PM,21.282,,,,,
265,07/14/15 04:00:00 PM,21.282,,,,,
266,07/14/15 04:05:00 PM,21.282,,,,,
267,07/14/15 04:10:00 PM,21.282,,,,,
268,07/14/15 04:15:00 PM,21.282,,,,,
269,07/14/15 04:20:00 PM,21.282,,,,,
270,07/14/15 04:25:00 PM,21.282,,,,,
271,07/14/15 04:30:00 PM,21.282,,,,,
272,07/14/15 04:35:00 PM,21.282,,,,,
273,07/14/15 04:40:00 PM,21.282,,,,,
274,07/14/15 04:45:00 PM,21.282,,,,,
275,07/14/15 04:50:00 PM,21.282,,,,,
276,07/14/15 04:55:00 PM,21.091,,,,,
277,07/14/15 05:00:00 PM,20.996,,,,,
278,07/14/15 05:05:00 PM,20.901,,,,,
279,07/14/15 05:10:00 PM,20.805,,,,,
280,07/14/15 05:15:00 PM,20.710,,,,,
281,07/14/15 05:20:00 PM,20.710,,,,,
282,07/14/15 05:25:00 PM,20.710,,,,,
283,07/14/15 05:30:00 PM,20.615,,,,,
284,07/14/15 05:35:00 PM,20.519,,,,,
285,07/14/15 05:40:00 PM,20.519,,,,,
286,07/14/15 05:45:00 PM,20.519,,,,,
287,07/14/15 05:50:00 PM,20.519,,,,,
288,07/14/15 05:55:00 PM,20.424,,,,,
289,07/14/15 06:00:00 PM,20.519,,,,,
290,07/14/15 06:05:00 PM,20.424,,,,,
291,07/14/15 06:10:00 PM,20.424,,,,,
292,07/14/15 06:15:00 PM,20.424,,,,,
293,07/14/15 06:20:00 PM,20.424,,,,,
294,07/14/15 06:25:00 PM,20.424,,,,,
295,07/14/15 06:30:00 PM,20.424,,,,,
296,07/14/15 06:35:00 PM,20.424,,,,,
297,07/14/15 06:40:00 PM,20.424,,,,,
298,07/14/15 06:45:00 PM,20.424,,,,,
299,07/14/15 06:50:00 PM,20.424,,,,,
300,07/14/15 06:55:00 PM,20.424,,,,,
301,07/14/15 07:00:00 PM,20.329,,,,,
