DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
943b71a0-bcb0-49ba-bdaa-27f637e2446f,316572,OB2017Tank1,8/31/2017 9:42,21.4,21.4° C,100,,,7/21/2017 23:34,23.1
c6bd1ccf-f67a-44d2-9f90-af952485f6c3,316572,OB2017Tank1,8/31/2017 9:32,21.5,21.5° C,100,,,7/21/2017 23:44,23.1
e814cbd3-2a1d-4c05-aa17-a7ebdea86db2,316572,OB2017Tank1,8/31/2017 9:22,21.5,21.5° C,100,,,7/21/2017 23:54,23.1
fa245faa-bfd5-432f-ad48-c854859563d7,316572,OB2017Tank1,8/31/2017 9:12,21.5,21.5° C,100,,,7/22/2017 0:04,23.1
64bc0975-9983-4afb-8ba6-9ac7d589d417,316572,OB2017Tank1,8/31/2017 9:02,21.6,21.6° C,100,,,7/22/2017 0:14,23
ab571214-dfd3-41cb-80f6-c135b85ac103,316572,OB2017Tank1,8/31/2017 8:52,21.6,21.6° C,100,,,7/22/2017 0:24,23.1
f845aac6-9862-4010-b7a2-3a8c2eea8af0,316572,OB2017Tank1,8/31/2017 8:43,21.6,21.6° C,100,,,7/22/2017 0:33,23.1
cdcad9eb-1d2d-4037-bf4a-b34812aace19,316572,OB2017Tank1,8/31/2017 8:33,21.7,21.7° C,100,,,7/22/2017 0:43,23.1
caaf0c91-b5d9-4006-af1a-2c16f88080de,316572,OB2017Tank1,8/31/2017 8:23,21.8,21.8° C,100,,,7/22/2017 0:53,23
a2fe7773-054c-4d73-93f4-7471e094eb5d,316572,OB2017Tank1,8/31/2017 8:13,21.7,21.7° C,100,,,7/22/2017 1:03,23
9c5878dc-52c6-4a4a-a374-de1e0ed60477,316572,OB2017Tank1,8/31/2017 8:03,21.8,21.8° C,100,,,7/22/2017 1:13,23
bd8abd28-5f28-46f0-8f5b-e92c9f59194f,316572,OB2017Tank1,8/31/2017 7:53,21.8,21.8° C,100,,,7/22/2017 1:23,23
ca8d689e-33b3-40d4-8e32-805d2a376cd8,316572,OB2017Tank1,8/31/2017 7:43,21.8,21.8° C,100,,,7/22/2017 1:33,23
